LC_HUMIDITY,LC_DWPTEMP,LC_RAININ,LC_RAD60,AV_TEMP,LC_WINDDIR,LC_WINDSPEED,noise_event,heavy,car,bike,pedestrian,hour,dayOfWeek,month,weekend,academic_calender,cos_hour,sin_hour,cos_dayOfWeek,sin_dayOfWeek,cos_month,sin_month,location_MP 01: Naamsestraat 35  Maxim,location_MP 02: Naamsestraat 57 Xior,location_MP 03: Naamsestraat 62 Taste,location_MP 05: Calvariekapel KU Leuven,location_MP 06: Parkstraat 2 La Filosovia,location_MP 07: Naamsestraat 81,location_MP08bis - Vrijthof,location_MP 01: Naamsestraat 35  Maxim,location_MP 02: Naamsestraat 57 Xior,location_MP 03: Naamsestraat 62 Taste,location_MP 05: Calvariekapel KU Leuven,location_MP 06: Parkstraat 2 La Filosovia,location_MP 07: Naamsestraat 81,location_MP08bis - Vrijthof
92.25,1.6429166666666666,2.0833333333333333e-05,8.645833333333334,2.753157081236056,-10.571428571428571,0.08142857142857143,Transport road - Passenger car,20.7293666027,122.9942418426,172.7447216891,120.2303262956,17,4,1,0,1,-0.06824241336467135,-0.9976687691905392,-0.5000000000000004,-0.8660254037844384,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
93.95454545454545,0.5145454545454545,0.0,0.08695652173913043,1.3695918889809386,-9.428571428571429,0.0,Transport road - Passenger car,0.0,0.0,0.0,0.0,22,6,1,1,1,0.9629172873477992,-0.2697967711570244,1.0,-2.4492935982947064e-16,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
97.72340425531915,-0.5295744680851064,0.0,29.638297872340427,-0.24837679020561185,-40.142857142857146,0.055714285714285716,Human voice - Shouting,55.0956521739,101.4260869565,201.6,87.652173913,11,0,1,0,1,-0.9906859460363308,0.13616664909624665,1.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
92.55319148936171,-0.8,0.0,0.0851063829787234,0.2712547692989547,35.285714285714285,0.054285714285714284,Transport road - Passenger car,71.0430930326,137.7366089408,194.2811115586,101.4901329037,9,1,1,0,1,-0.7757112907044197,0.631087944326053,0.5000000000000001,0.8660254037844386,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
90.06382978723404,0.45680851063829786,4.2553191489361704e-05,0.0851063829787234,1.907447855479329,-31.285714285714285,0.017142857142857144,Human voice - Shouting,0.0,0.0,0.0,0.0,7,2,1,0,1,-0.33487961217098616,0.9422609221188205,-0.4999999999999998,0.8660254037844387,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
96.82608695652173,0.8158695652173913,0.0,0.08695652173913043,1.2638865978981466,-16.142857142857142,0.01,Human voice - Shouting,0.0,0.0,0.0,0.0,6,3,1,0,1,-0.06824241336467088,0.9976687691905392,-1.0,1.2246467991473532e-16,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
97.27659574468085,0.1951063829787234,0.0,38.42553191489362,0.5567791334790744,-3.2857142857142856,0.015714285714285715,Transport road - Passenger car,36.0128617363,144.0514469453,284.2443729904,127.3311897106,11,3,1,0,1,-0.9906859460363308,0.13616664909624665,-1.0,1.2246467991473532e-16,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
83.66666666666667,5.322222222222222,0.0,113.8913043478261,7.885700005794215,-9.285714285714286,0.024285714285714282,Human voice - Shouting,18.0904522613,165.3984206748,220.9619526202,68.4852835607,14,4,1,0,1,-0.7757112907044198,-0.6310879443260528,-0.5000000000000004,-0.8660254037844384,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
92.19565217391305,3.8845652173913043,0.0,0.10869565217391304,4.999302678489883,1.2857142857142858,0.008571428571428572,Human voice - Shouting,0.0,0.0,0.0,0.0,21,4,1,0,1,0.8544194045464886,-0.5195839500354336,-0.5000000000000004,-0.8660254037844384,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
91.19565217391305,3.5432608695652177,0.0,0.10869565217391304,4.837029864069524,44.285714285714285,0.022857142857142857,Transport road - Passenger car,0.0,0.0,0.0,0.0,22,4,1,0,1,0.9629172873477992,-0.2697967711570244,-0.5000000000000004,-0.8660254037844384,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
91.21739130434783,3.3793478260869563,0.0,0.10869565217391304,4.653976699166002,37.285714285714285,0.04428571428571428,Human voice - Shouting,0.0,0.0,0.0,0.0,23,4,1,0,1,1.0,-2.4492935982947064e-16,-0.5000000000000004,-0.8660254037844384,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
91.21739130434783,3.3793478260869563,0.0,0.10869565217391304,4.653976699166002,37.285714285714285,0.04428571428571428,Human voice - Shouting,0.0,0.0,0.0,0.0,23,4,1,0,1,1.0,-2.4492935982947064e-16,-0.5000000000000004,-0.8660254037844384,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
91.21739130434783,3.3793478260869563,0.0,0.10869565217391304,4.653976699166002,37.285714285714285,0.04428571428571428,Human voice - Shouting,0.0,0.0,0.0,0.0,23,4,1,0,1,1.0,-2.4492935982947064e-16,-0.5000000000000004,-0.8660254037844384,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
